# Credit: XHIP Catalog by Anderson E.; Francis C.
# Publisher: CDS
# Original Publication: Astronomy Letters, Volume 38, Issue 5, pp.331-346
HIP,RAJ2000,DEJ2000,pmRA,pmDE,Hpmag,Umag,Bmag,Vmag,Rmag,Imag,Tc,Lc
14135,45.56991317,4.08992556,-11.7,-77.7,2.62,,4.17,2.54,,0.766,71,3
8903,28.65978905,20.80829983,98.74,-110.41,2.704,,2.805,2.64,,2.501,35,5
9884,31.79285751,23.46277747,188.55,-148.08,2.173,,3.161,2.01,1.3,0.8,61,3
28360,89.88237269,44.94743488,-56.44,-0.95,1.904,,1.977,1.9,,1.854,31,5
24608,79.17206466,45.99902905,75.25,-426.89,0.238,,0.875,0.08,0.4,0.6,51,3
14576,47.04220716,40.9556512,2.39,-1.44,2.097,,2.087,2.09,,2.085,27,5
5447,17.43249023,35.62083036,175.0,-112.5,2.174,,3.646,2.07,1.2,0.4,70,3
9640,30.97466283,42.32984832,43.08,-50.85,2.241,,3.47,2.1,,0.96,63,2
3821,12.27125307,57.81654753,1086.59,-559.43,3.584,,4.047,3.46,3.1,2.8,49,5
15863,51.08061917,49.86124305,23.75,-26.23,1.897,,2.271,1.79,,1.236,45,1
11767,37.946143,89.26413778,44.48,-11.85,2.108,,2.606,1.97,,1.367,48,1
50583,154.99234103,19.84186021,304.3,-154.28,2.168,,3.138,2.01,,1.196,61,3
40977,125.42878697,17.28528855,-11.6,0.0,9.262,,11.33,9.25,,6.73,100,0
47886,146.3928342,34.51189885,4.73,-4.86,9.097,,10.506,9.36,,6.098,77,0
54061,165.93265337,61.75111903,-134.11,-34.7,1.952,,2.871,1.81,2.4,2.6,58,3
37826,116.33068294,28.02631022,-626.55,-45.8,1.295,,2.151,1.16,0.6,0.2,59,3
69673,213.91811408,19.18727046,-1093.39,-2000.06,0.111,,1.189,-0.05,0.3,0.4,60,3
75143,230.34983901,31.36741307,-7.98,-14.03,8.228,,9.087,8.12,,7.279,79,0
87833,269.15157428,51.48895101,-8.48,-22.79,2.362,,3.761,2.24,,0.873,65,3
72607,222.6766478,74.15547618,-32.61,11.42,2.204,,3.535,2.07,,0.778,64,3
102784,312.35217649,11.40393543,116.23,-104.49,9.667,,10.383,9.31,,8.17,0,0
107315,326.0464175,9.87500758,26.92,0.44,2.546,,3.9,2.38,,1.149,62,1
99527,302.98357997,20.33456735,0.44,-8.6,9.339,10.92,11.15,9.24,9.2,7.521,24,1
113881,345.94305579,28.08245431,187.3,136.0,2.486,,4.095,2.44,1.6,0.8,73,3
102098,310.35797281,45.28033431,2.01,1.85,1.297,1.11,1.342,1.25,,1.183,32,1
91262,279.23410825,38.78299326,200.94,286.23,0.087,,0.029,0.03,0.1,0.2,31,5
3419,10.89678447,-17.98668407,232.55,31.99,2.206,,3.059,2.04,,1.159,59,2
117054,355.95600855,-15.28442036,33.0,-25.74,8.712,,10.19,8.69,,5.31,77,5
677,2.09653385,29.09082837,137.46,-163.44,2.037,1.48,2.032,2.07,2.1,2.1,25,5
30324,95.67494722,-17.95591681,-3.23,-0.78,1.891,0.77,1.74,1.98,,2.173,21,3
32349,101.28854105,-16.71314306,-546.01,-1223.07,-1.088,,-1.431,-1.44,,-1.42,30,5
37279,114.82724194,5.22750767,-716.57,-1034.58,0.461,,0.832,0.4,0.7,0.9,45,4
24436,78.63446385,-8.20163958,1.31,0.5,0.193,-0.55,0.15,0.18,,0.253,28,1
26727,85.18968667,-1.94257852,3.19,2.03,1.681,,1.541,1.74,,1.877,19,1
26311,84.05338544,-1.20191724,1.44,-0.78,1.624,0.48,1.506,1.69,,1.852,20,1
25336,81.28278339,6.34973457,-8.11,-12.88,1.549,0.54,1.416,1.64,,1.849,22,3
21421,68.98000194,16.50976158,63.45,-188.94,1.002,,2.408,0.87,0.1,-0.7,65,3
27989,88.79287149,7.40703653,27.54,11.3,0.5,4.38,1.95,0.45,,-1.551,74,1
31681,99.42792544,16.39941401,13.81,-54.96,1.929,,1.931,1.93,,1.984,31,4
25428,81.57290832,28.60787362,22.76,-173.58,1.615,1.03,1.52,1.65,1.7,1.8,25,4
25763,82.52488823,29.55285702,21.0,-28.4,7.484,,7.91,7.36,,8.692,55,0
28380,89.93015902,37.21276398,43.63,-73.79,2.61,,2.567,2.65,,2.701,29,4
59803,183.95194935,-17.54198359,-158.61,21.86,2.548,2.12,2.473,2.58,,2.672,27,4
65474,201.29835228,-11.16124494,-42.35,-30.67,0.889,-0.19,0.745,0.98,,1.281,21,4
49669,152.09358042,11.96719519,-248.73,5.59,1.323,,1.273,1.36,1.4,1.5,28,4
57632,177.2661596,14.57233678,-497.68,-114.67,2.16,,2.23,2.14,2.0,2.0,33,5
